code,name
ACU,ACUARISMO
AER,AEROMODELISMO
AGR,AGRICULTURA
AJE,AJEDREZ
ALT,ALTA COSTURA
AND,ANDINISMO
ANT,ANTICUARIO
API,APICULTURA
ART,ARTE
ART,ARTES MARCIALES
ART,ARTESANIA
AST,ASTRONOMIA
ATL,ATLETISMO
AUT,AUTOMOVILISMO
AVE,AVES
AVI,AVIACION
BAB,BABY-FUTBOL
BAI,BAILE
BAL,BALLET
BAS,BASKETBALL
BIB,BIBLIA
BIC,BICICLETA
BIL,BILLAR
BOC,BOCHAS
BOM,BOMBERO
BOR,BORDADO
BOT,BOTANICA
BOW,BOWLING
BUC,BUCEO
CAB,CABALLOS
CAC,CACHO
CAM,CAMINAR
CAM,CAMPING
CAN,CANTO
CAR,CARPINTERIA
CAZ,CAZA
CER,CERAMICA
CIC,CICLISMO
CIE,CIENCIAS ESOTERICAS
CIN,CINEFILOS
COC,COCINAR
COL,COLECCIONISTA
COM,COMPUTACION
COS,COSTURA
CRU,CRUCIGRAMA
DAN,DANZA
DEP,DEP. NAUTICOS
DEP,DEPORTES
DIB,DIBUJO
ECO,ECOLOGIA
ELE,ELECTRONICA/ELECTR.
ENC,ENCICLOPEDISTA
EQU,EQUITACION
ESC,ESCRITURA
ESC,ESCULTURA
ESG,ESGRIMA
EST,ESTUDIAR
EXC,EXCURSIONISMO
FAM,FAMILIA
FIL,FILATELIA
FIL,FILOSOFIA
FIS,FISICULTURA
FLO,FLORES
FOL,FOLCLORE
FOO,FOOTING
FOT,FOTOGRAFIA
FUN,FUN BOARD
FUT,FUTBOL
GEO,GEOGRAFIA
GIM,GIMNASIA
GOL,GOLF
GUI,GUITARRA
HIP,HIPICA
HIS,HISTORIADOR
HOR,HORTALIZAS
IDI,IDIOMAS
INS,INSTRUM.MUSICALES
JAR,JARDINERIA
JAZ,JAZZ
JUE,JUEGOS DE AZAR
KAR,KARATE
LEC,LECTURA
MAG,MAGIA BLANCA
MAN,MANUALIDADES
MAS,MASCOTAS
MEC,MECANICA
MED,MEDICINA
MOD,MODELISMO
MON,MONTA&Ntilde;ISMO
MOT,MOTOCICLISMO
MUS,MUSICA
NAT,NATACION
NAT,NATURALEZA
NAV,NAVEGACION
NUM,NUMISMATICA
OBS,OBSTETRICIA
OPE,OPERA
ORN,ORNITOLOGIA
PAD,PADDLE-TENIS
PAR,PARACAIDISMO
PAS,PASEAR
PAS,PASTELERIA
PEL,PELOTA VASCA
PES,PESCA
PIA,PIANO
PIL,PILOTAJE
PIN,PING - PONG
PIN,PINTURA
PIP,PIPAS
POE,POESIA
POL,POLICROMIA
POL,POLITICA
POO,POOL / BILLAR
PUZ,PUZZLE
RAD,RADIOAFICIONADO
RAQ,RAQUETBALL
ROD,RODEO
RUG,RUGBY
SCO,SCOUT
SKI,SKI
SQU,SQUATCH
SU ,SU PERRO
TAL,TALLER
TE,TE
TEA,TEATRO
TEJ,TEJER
TEN,TENIS
TIR,TIRO AL BLANCO
TRA,TRABAJAR
TUR,TURISMO
VEL,VELERISMO
VID,VIDEO
VID,VIDEO GAMES
VOL,VOLEIBALL
WIN,WINDSURF
YOG,YOGA
