code,name
CAR,CARDIOLOGIA
CIR,CIRUGIA
DER,DERMATOLOGIA
END,ENDOCRINOLOGIA
GAS,GASTROENTEROLOGIA
GER,GERIATRIA
GIN,GINECOLOGIA
M.G,MEDICINA GENERAL
NEF,NEFROLOGIA
NEM,NEUMOLOGIA
NPE,NEURO PEDIATRIA
NEU,NEUROLOGIA
OBS,OBSTETRICIA
ODO,ODONTOLOGIA
OFT,OFTALMOLOGIA
PED,PEDIATRA
PSI,PSIQUIATRIA
PIN,PSIQUIATRIA INFANTIL
REU,REUMATOLOGIA
TRA,TRAUMATOLOGIA
URO,UROLOGIA
M.I,MEDICINA INTERNA
MFI,MEDICINA FISICA
B.P,BRONCO PULMONAR
CIP,CIRUGIA PEDIATRICA
EME,EMERGENCIOLOGO
ONC,ONCOLOGIA
ALE,ALERGOLOGIA
REH,REHABILITACION
HEM,HEMATOLOGO
MPE,MEDICINA PREVENTIVA
NEO,NEOLOGO
RAD,RADIOLOGIA
INF,INFECTOLOGIA
INT,INTERNO
ORL,OTORRINOLARINGOLOGO
MAS,MEDICINA AEROESPACIAL
ANE,ANESTECIOLOGIA
ANG,ANGIOLOGIA
E/N,ENDOCRINOLOGIA Y NUTRICION
INM,INMUNOLOGIA
MIN,MEDICINA INTENSIVA
NEC,NEUROCIRUGIA
PRO,PROCTOLOGIA
GLA,GLAUCOMA
COF,CIRUJANO OFTALMOLOGO
